model,stage,query,query_type,expected_chunk_id,top_3,top_10_with_scores
microsoft/biogpt,embedding,что делать при высоком давлении,conversational,hypertension_1,diabetes_1 | ckd_1 | gastritis_1,diabetes_1:0.9014 | ckd_1:0.8924 | gastritis_1:0.8916 | stroke_1:0.8901 | ischemic_heart_1:0.8860 | copd_1:0.8827 | asthma_1:0.8817 | hypertension_1:0.8817 | migraine_1:0.8802 | pneumonia_1:0.8795
microsoft/biogpt,embedding,устойчивое повышение АД и риск поражения органов мишеней,abbreviation,hypertension_1,stroke_1 | diabetes_1 | ckd_1,stroke_1:0.9436 | diabetes_1:0.9322 | ckd_1:0.9259 | ischemic_heart_1:0.9256 | hypertension_1:0.9238 | copd_1:0.9238 | gastritis_1:0.9225 | pneumonia_1:0.9184 | asthma_1:0.9182 | migraine_1:0.9164
microsoft/biogpt,embedding,"одышка у курильщика, хронический кашель, нужна спирометрия",medical_terms,copd_1,stroke_1 | diabetes_1 | ckd_1,stroke_1:0.9322 | diabetes_1:0.9247 | ckd_1:0.9200 | pneumonia_1:0.9161 | asthma_1:0.9156 | ischemic_heart_1:0.9146 | copd_1:0.9144 | hypertension_1:0.9096 | gastritis_1:0.9091 | migraine_1:0.9014
microsoft/biogpt,embedding,ХОБЛ базисное лечение бронходилататоры вакцинация отказ от курения,abbreviation,copd_1,stroke_1 | diabetes_1 | ckd_1,stroke_1:0.9229 | diabetes_1:0.9188 | ckd_1:0.9159 | copd_1:0.9157 | asthma_1:0.9095 | ischemic_heart_1:0.9089 | gastritis_1:0.8982 | hypertension_1:0.8977 | pneumonia_1:0.8972 | migraine_1:0.8887
microsoft/biogpt,embedding,свистящее дыхание и приступы удушья по ночам,synonym_paraphrase,asthma_1,stroke_1 | diabetes_1 | gastritis_1,stroke_1:0.9277 | diabetes_1:0.9123 | gastritis_1:0.9100 | asthma_1:0.9089 | copd_1:0.9079 | hypertension_1:0.9052 | ckd_1:0.9033 | ischemic_heart_1:0.9028 | migraine_1:0.9021 | pneumonia_1:0.9005
microsoft/biogpt,embedding,ингаляционные препараты при бронхиальной астме и план действий при обострении,long,asthma_1,stroke_1 | diabetes_1 | hypertension_1,stroke_1:0.9515 | diabetes_1:0.9513 | hypertension_1:0.9509 | asthma_1:0.9507 | pneumonia_1:0.9503 | migraine_1:0.9498 | gastritis_1:0.9472 | ckd_1:0.9463 | copd_1:0.9449 | ischemic_heart_1:0.9428
microsoft/biogpt,embedding,сниженная СКФ больше трех месяцев альбуминурия,abbreviation,ckd_1,stroke_1 | asthma_1 | pneumonia_1,stroke_1:0.9179 | asthma_1:0.9138 | pneumonia_1:0.9130 | diabetes_1:0.9108 | hypertension_1:0.9073 | ckd_1:0.9066 | gastritis_1:0.9062 | ischemic_heart_1:0.9061 | copd_1:0.9043 | migraine_1:0.8911
microsoft/biogpt,embedding,лихорадка кашель мокрота боль в груди рентген,short,pneumonia_1,diabetes_1 | stroke_1 | ckd_1,diabetes_1:0.9158 | stroke_1:0.9055 | ckd_1:0.9048 | asthma_1:0.9038 | pneumonia_1:0.9028 | hypertension_1:0.9011 | ischemic_heart_1:0.9009 | gastritis_1:0.8992 | copd_1:0.8964 | migraine_1:0.8874
microsoft/biogpt,embedding,давящая боль за грудиной при нагрузке проходит в покое,conversational,ischemic_heart_1,stroke_1 | diabetes_1 | asthma_1,stroke_1:0.9262 | diabetes_1:0.9168 | asthma_1:0.9081 | ckd_1:0.9079 | pneumonia_1:0.9064 | copd_1:0.9054 | ischemic_heart_1:0.9053 | hypertension_1:0.9030 | gastritis_1:0.9015 | migraine_1:0.9012
microsoft/biogpt,embedding,головная боль с тошнотой и светобоязнью приступами,synonym_paraphrase,migraine_1,stroke_1 | pneumonia_1 | diabetes_1,stroke_1:0.9405 | pneumonia_1:0.9391 | diabetes_1:0.9365 | asthma_1:0.9341 | ischemic_heart_1:0.9321 | migraine_1:0.9317 | ckd_1:0.9312 | copd_1:0.9308 | hypertension_1:0.9301 | gastritis_1:0.9252
microsoft/biogpt,embedding,мигрень аура профилактическая терапия при частых атаках,medical_terms,migraine_1,stroke_1 | diabetes_1 | hypertension_1,stroke_1:0.9439 | diabetes_1:0.9408 | hypertension_1:0.9363 | ckd_1:0.9350 | gastritis_1:0.9346 | ischemic_heart_1:0.9323 | pneumonia_1:0.9322 | migraine_1:0.9302 | copd_1:0.9281 | asthma_1:0.9277
