model,stage,query_type,recall_at_1,recall_at_3,mrr,avg_query_time_sec
BAAI/bge-m3,embedding,all,1.0,1.0,1.0,0.034701220798888245
BAAI/bge-m3,embedding,abbreviation,1.0,1.0,1.0,0.037147822993574664
BAAI/bge-m3,embedding,conversational,1.0,1.0,1.0,0.04314633324975148
BAAI/bge-m3,embedding,long,1.0,1.0,1.0,0.04108374999486841
BAAI/bge-m3,embedding,medical_terms,1.0,1.0,1.0,0.03267582479165867
BAAI/bge-m3,embedding,short,1.0,1.0,1.0,0.02137570848572068
BAAI/bge-m3,embedding,synonym_paraphrase,1.0,1.0,1.0,0.028183250028329592
BAAI/bge-m3,reranked,all,1.0,1.0,1.0,0.29977523960697
BAAI/bge-m3,reranked,abbreviation,1.0,1.0,1.0,0.29619735426967964
BAAI/bge-m3,reranked,conversational,1.0,1.0,1.0,0.3261639892589301
BAAI/bge-m3,reranked,long,1.0,1.0,1.0,0.3243642085290048
BAAI/bge-m3,reranked,medical_terms,1.0,1.0,1.0,0.29507106678793205
BAAI/bge-m3,reranked,short,1.0,1.0,1.0,0.26975537501857616
BAAI/bge-m3,reranked,synonym_paraphrase,1.0,1.0,1.0,0.28082163899671286
microsoft/biogpt,embedding,all,0.25,0.45,0.4342857142857143,0.060421816699090414
microsoft/biogpt,embedding,abbreviation,0.0,0.25,0.2375,0.06047186475188937
microsoft/biogpt,embedding,conversational,0.25,0.5,0.4419642857142857,0.05782609373272862
microsoft/biogpt,embedding,long,0.5,0.5,0.625,0.07409408301464282
microsoft/biogpt,embedding,medical_terms,0.6,0.6,0.6535714285714286,0.060950358398258686
microsoft/biogpt,embedding,short,0.0,0.5,0.35,0.05102495799656026
microsoft/biogpt,embedding,synonym_paraphrase,0.0,0.3333333333333333,0.25,0.06008487534321224
microsoft/biogpt,reranked,all,1.0,1.0,1.0,0.28561743959144226
microsoft/biogpt,reranked,abbreviation,1.0,1.0,1.0,0.27672197949141264
microsoft/biogpt,reranked,conversational,1.0,1.0,1.0,0.31760289549129084
microsoft/biogpt,reranked,long,1.0,1.0,1.0,0.2974395420169458
microsoft/biogpt,reranked,medical_terms,1.0,1.0,1.0,0.2776039329939522
microsoft/biogpt,reranked,short,1.0,1.0,1.0,0.2665652914729435
microsoft/biogpt,reranked,synonym_paraphrase,1.0,1.0,1.0,0.27300665331616375
intfloat/multilingual-e5-large,embedding,all,1.0,1.0,1.0,0.046349760549492205
intfloat/multilingual-e5-large,embedding,abbreviation,1.0,1.0,1.0,0.034087343752617016
intfloat/multilingual-e5-large,embedding,conversational,1.0,1.0,1.0,0.0866076564998366
intfloat/multilingual-e5-large,embedding,long,1.0,1.0,1.0,0.09054779200232588
intfloat/multilingual-e5-large,embedding,medical_terms,1.0,1.0,1.0,0.030140916781965642
intfloat/multilingual-e5-large,embedding,short,1.0,1.0,1.0,0.020395833504153416
intfloat/multilingual-e5-large,embedding,synonym_paraphrase,1.0,1.0,1.0,0.02387445835241427
intfloat/multilingual-e5-large,reranked,all,1.0,1.0,1.0,0.29286327918816824
intfloat/multilingual-e5-large,reranked,abbreviation,1.0,1.0,1.0,0.28182965649466496
intfloat/multilingual-e5-large,reranked,conversational,1.0,1.0,1.0,0.3348071664804593
intfloat/multilingual-e5-large,reranked,long,1.0,1.0,1.0,0.30892389599466696
intfloat/multilingual-e5-large,reranked,medical_terms,1.0,1.0,1.0,0.2829172249883413
intfloat/multilingual-e5-large,reranked,short,1.0,1.0,1.0,0.2659701874945313
intfloat/multilingual-e5-large,reranked,synonym_paraphrase,1.0,1.0,1.0,0.27544799998092157
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,embedding,all,0.9,1.0,0.9416666666666667,0.04237931044190191
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,embedding,abbreviation,0.75,1.0,0.875,0.03299919773417059
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,embedding,conversational,0.75,1.0,0.8333333333333334,0.0978847812366439
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,embedding,long,1.0,1.0,1.0,0.06132575048832223
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,embedding,medical_terms,1.0,1.0,1.0,0.017482999991625548
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,embedding,short,1.0,1.0,1.0,0.010446854517795146
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,embedding,synonym_paraphrase,1.0,1.0,1.0,0.03103002766147256
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,all,1.0,1.0,1.0,0.28915508968930226
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,abbreviation,1.0,1.0,1.0,0.2791163124929881
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,conversational,1.0,1.0,1.0,0.325928531223326
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,long,1.0,1.0,1.0,0.30146629200316966
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,medical_terms,1.0,1.0,1.0,0.28072238360764457
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,short,1.0,1.0,1.0,0.26585035448079
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,synonym_paraphrase,1.0,1.0,1.0,0.27489240263821557
